+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 2 |1404 |       NEW |     READY |
|                 2 |1404 |     READY |   RUNNING |
|                 3 |1403 |       NEW |     READY |
|                 5 |1401 |       NEW |     READY |
|                 5 |1402 |       NEW |     READY |
|                 5 |1405 |       NEW |     READY |
|                 7 |1404 |   RUNNING |   WAITING |
|                 7 |1401 |     READY |   RUNNING |
|                10 |1401 |   RUNNING |   WAITING |
|                10 |1402 |     READY |   RUNNING |
|                12 |1404 |   WAITING |     READY |
|                15 |1402 |   RUNNING |   WAITING |
|                16 |1401 |   WAITING |     READY |
|                15 |1403 |     READY |   RUNNING |
|                17 |1403 |   RUNNING |   WAITING |
|                18 |1402 |   WAITING |     READY |
|                17 |1401 |     READY |   RUNNING |
|                19 |1403 |   WAITING |     READY |
|                20 |1401 |   RUNNING |   WAITING |
|                20 |1402 |     READY |   RUNNING |
|                25 |1402 |   RUNNING |   WAITING |
|                26 |1401 |   WAITING |     READY |
|                25 |1403 |     READY |   RUNNING |
|                27 |1403 |   RUNNING |   WAITING |
|                28 |1402 |   WAITING |     READY |
|                27 |1401 |     READY |   RUNNING |
|                29 |1403 |   WAITING |     READY |
|                30 |1401 |   RUNNING |   WAITING |
|                30 |1402 |     READY |   RUNNING |
|                35 |1402 |   RUNNING |   WAITING |
|                36 |1401 |   WAITING |     READY |
|                35 |1403 |     READY |   RUNNING |
|                37 |1403 |   RUNNING |   WAITING |
|                38 |1402 |   WAITING |     READY |
|                37 |1401 |     READY |   RUNNING |
|                39 |1403 |   WAITING |     READY |
|                40 |1401 |   RUNNING |   WAITING |
|                40 |1402 |     READY |   RUNNING |
|                45 |1402 |   RUNNING |   WAITING |
|                46 |1401 |   WAITING |     READY |
|                45 |1403 |     READY |   RUNNING |
|                47 |1403 |   RUNNING |   WAITING |
|                48 |1402 |   WAITING |     READY |
|                47 |1401 |     READY |   RUNNING |
|                49 |1403 |   WAITING |     READY |
|                50 |1401 |   RUNNING |   WAITING |
|                50 |1402 |     READY |   RUNNING |
|                55 |1402 |   RUNNING |   WAITING |
|                56 |1401 |   WAITING |     READY |
|                55 |1403 |     READY |   RUNNING |
|                57 |1403 |   RUNNING |   WAITING |
|                58 |1402 |   WAITING |     READY |
|                57 |1401 |     READY |   RUNNING |
|                59 |1403 |   WAITING |     READY |
|                60 |1401 |   RUNNING |   WAITING |
|                60 |1402 |     READY |   RUNNING |
|                61 |1402 |   RUNNING |TERMINATED |
|                61 |1403 |     READY |   RUNNING |
|                63 |1403 |   RUNNING |   WAITING |
|                63 |1404 |     READY |   RUNNING |
|                65 |1403 |   WAITING |     READY |
|                66 |1401 |   WAITING |     READY |
|                68 |1404 |   RUNNING |   WAITING |
|                68 |1401 |     READY |   RUNNING |
|                71 |1401 |   RUNNING |   WAITING |
|                71 |1403 |     READY |   RUNNING |
|                73 |1404 |   WAITING |     READY |
|                73 |1403 |   RUNNING |TERMINATED |
|                73 |1404 |     READY |   RUNNING |
|                77 |1401 |   WAITING |     READY |
|                78 |1404 |   RUNNING |   WAITING |
|                78 |1401 |     READY |   RUNNING |
|                80 |1401 |   RUNNING |TERMINATED |
|                80 |1405 |     READY |   RUNNING |
|                82 |1405 |   RUNNING |   WAITING |
|                83 |1404 |   WAITING |     READY |
|                84 |1405 |   WAITING |     READY |
|                83 |1404 |     READY |   RUNNING |
|                88 |1404 |   RUNNING |   WAITING |
|                88 |1405 |     READY |   RUNNING |
|                90 |1405 |   RUNNING |   WAITING |
|                92 |1405 |   WAITING |     READY |
|                93 |1404 |   WAITING |     READY |
|                92 |1405 |     READY |   RUNNING |
|                94 |1405 |   RUNNING |   WAITING |
|                94 |1404 |     READY |   RUNNING |
|                95 |1404 |   RUNNING |TERMINATED |
|                96 |1405 |   WAITING |     READY |
|                96 |1405 |     READY |   RUNNING |
|                98 |1405 |   RUNNING |   WAITING |
|               100 |1405 |   WAITING |     READY |
|               100 |1405 |     READY |   RUNNING |
|               102 |1405 |   RUNNING |   WAITING |
|               104 |1405 |   WAITING |     READY |
|               104 |1405 |     READY |   RUNNING |
|               106 |1405 |   RUNNING |   WAITING |
|               108 |1405 |   WAITING |     READY |
|               108 |1405 |     READY |   RUNNING |
|               110 |1405 |   RUNNING |   WAITING |
|               112 |1405 |   WAITING |     READY |
|               112 |1405 |     READY |   RUNNING |
|               114 |1405 |   RUNNING |   WAITING |
|               116 |1405 |   WAITING |     READY |
|               116 |1405 |     READY |   RUNNING |
|               118 |1405 |   RUNNING |   WAITING |
|               120 |1405 |   WAITING |     READY |
|               120 |1405 |     READY |   RUNNING |
|               122 |1405 |   RUNNING |   WAITING |
|               124 |1405 |   WAITING |     READY |
|               124 |1405 |     READY |   RUNNING |
|               126 |1405 |   RUNNING |   WAITING |
|               128 |1405 |   WAITING |     READY |
|               128 |1405 |     READY |   RUNNING |
|               130 |1405 |   RUNNING |   WAITING |
|               132 |1405 |   WAITING |     READY |
|               132 |1405 |     READY |   RUNNING |
|               134 |1405 |   RUNNING |   WAITING |
|               136 |1405 |   WAITING |     READY |
|               136 |1405 |     READY |   RUNNING |
|               138 |1405 |   RUNNING |TERMINATED |
+------------------------------------------------+
