+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 4 |1202 |       NEW |     READY |
|                 4 |1204 |       NEW |     READY |
|                 4 |1202 |     READY |   RUNNING |
|                 5 |1201 |       NEW |     READY |
|                 5 |1203 |       NEW |     READY |
|                 5 |1202 |   RUNNING |     READY |
|                 5 |1201 |     READY |   RUNNING |
|                 8 |1201 |   RUNNING |   WAITING |
|                 8 |1202 |     READY |   RUNNING |
|                10 |1202 |   RUNNING |   WAITING |
|                10 |1203 |     READY |   RUNNING |
|                12 |1201 |   WAITING |     READY |
|                12 |1203 |   RUNNING |     READY |
|                12 |1201 |     READY |   RUNNING |
|                15 |1201 |   RUNNING |   WAITING |
|                16 |1202 |   WAITING |     READY |
|                15 |1203 |     READY |   RUNNING |
|                16 |1203 |   RUNNING |     READY |
|                16 |1202 |     READY |   RUNNING |
|                19 |1201 |   WAITING |     READY |
|                19 |1202 |   RUNNING |   WAITING |
|                19 |1201 |     READY |   RUNNING |
|                22 |1201 |   RUNNING |   WAITING |
|                22 |1203 |     READY |   RUNNING |
|                24 |1203 |   RUNNING |   WAITING |
|                25 |1202 |   WAITING |     READY |
|                24 |1204 |     READY |   RUNNING |
|                26 |1201 |   WAITING |     READY |
|                25 |1204 |   RUNNING |     READY |
|                25 |1202 |     READY |   RUNNING |
|                26 |1202 |   RUNNING |     READY |
|                26 |1201 |     READY |   RUNNING |
|                28 |1203 |   WAITING |     READY |
|                29 |1201 |   RUNNING |   WAITING |
|                29 |1202 |     READY |   RUNNING |
|                31 |1202 |   RUNNING |   WAITING |
|                31 |1203 |     READY |   RUNNING |
|                33 |1201 |   WAITING |     READY |
|                33 |1203 |   RUNNING |     READY |
|                33 |1201 |     READY |   RUNNING |
|                36 |1201 |   RUNNING |   WAITING |
|                37 |1202 |   WAITING |     READY |
|                36 |1203 |     READY |   RUNNING |
|                37 |1203 |   RUNNING |     READY |
|                37 |1202 |     READY |   RUNNING |
|                40 |1201 |   WAITING |     READY |
|                40 |1202 |   RUNNING |   WAITING |
|                40 |1201 |     READY |   RUNNING |
|                43 |1201 |   RUNNING |   WAITING |
|                43 |1203 |     READY |   RUNNING |
|                45 |1203 |   RUNNING |   WAITING |
|                46 |1202 |   WAITING |     READY |
|                45 |1204 |     READY |   RUNNING |
|                46 |1204 |   RUNNING |   WAITING |
|                47 |1201 |   WAITING |     READY |
|                46 |1202 |     READY |   RUNNING |
|                47 |1202 |   RUNNING |     READY |
|                47 |1201 |     READY |   RUNNING |
|                49 |1203 |   WAITING |     READY |
|                49 |1204 |   WAITING |     READY |
|                50 |1201 |   RUNNING |   WAITING |
|                50 |1202 |     READY |   RUNNING |
|                52 |1202 |   RUNNING |   WAITING |
|                52 |1203 |     READY |   RUNNING |
|                54 |1201 |   WAITING |     READY |
|                54 |1203 |   RUNNING |     READY |
|                54 |1201 |     READY |   RUNNING |
|                56 |1201 |   RUNNING |TERMINATED |
|                56 |1203 |     READY |   RUNNING |
|                58 |1202 |   WAITING |     READY |
|                58 |1203 |   RUNNING |     READY |
|                58 |1202 |     READY |   RUNNING |
|                61 |1202 |   RUNNING |   WAITING |
|                61 |1203 |     READY |   RUNNING |
|                62 |1203 |   RUNNING |   WAITING |
|                62 |1204 |     READY |   RUNNING |
|                64 |1204 |   RUNNING |   WAITING |
|                66 |1203 |   WAITING |     READY |
|                67 |1202 |   WAITING |     READY |
|                67 |1204 |   WAITING |     READY |
|                66 |1203 |     READY |   RUNNING |
|                67 |1203 |   RUNNING |     READY |
|                67 |1202 |     READY |   RUNNING |
|                70 |1202 |   RUNNING |TERMINATED |
|                70 |1203 |     READY |   RUNNING |
|                71 |1203 |   RUNNING |TERMINATED |
|                71 |1204 |     READY |   RUNNING |
|                73 |1204 |   RUNNING |   WAITING |
|                76 |1204 |   WAITING |     READY |
|                76 |1204 |     READY |   RUNNING |
|                78 |1204 |   RUNNING |   WAITING |
|                81 |1204 |   WAITING |     READY |
|                81 |1204 |     READY |   RUNNING |
|                83 |1204 |   RUNNING |   WAITING |
|                86 |1204 |   WAITING |     READY |
|                86 |1204 |     READY |   RUNNING |
|                88 |1204 |   RUNNING |   WAITING |
|                91 |1204 |   WAITING |     READY |
|                91 |1204 |     READY |   RUNNING |
|                93 |1204 |   RUNNING |   WAITING |
|                96 |1204 |   WAITING |     READY |
|                96 |1204 |     READY |   RUNNING |
|                98 |1204 |   RUNNING |   WAITING |
|               101 |1204 |   WAITING |     READY |
|               101 |1204 |     READY |   RUNNING |
|               103 |1204 |   RUNNING |   WAITING |
|               106 |1204 |   WAITING |     READY |
|               106 |1204 |     READY |   RUNNING |
|               108 |1204 |   RUNNING |   WAITING |
|               111 |1204 |   WAITING |     READY |
|               111 |1204 |     READY |   RUNNING |
|               113 |1204 |   RUNNING |TERMINATED |
+------------------------------------------------+
